대륙,국가,성별,총합계,0세-4세,5세-9세,10세-14세,15세-19세,20세-24세,25세-29세,30세-34세,35세-39세,40세-44세,45세-49세,50세-54세,55세-59세,60세-64세,65세-69세,70세-74세,75세-79세,80세이상
아시아주,시리아,남성,1802,44,46,35,78,212,255,288,365,253,103,66,42,12,3,0,0,0
아시아주,시리아,여성,370,38,41,33,26,36,46,61,40,18,13,4,7,4,2,0,1,0
아시아주,티모르민주공화국,남성,1700,2,1,22,4,305,613,385,182,63,40,39,29,12,3,0,0,0
아시아주,티모르민주공화국,여성,182,0,3,3,6,33,40,23,29,22,11,4,3,5,0,0,0,0
아시아주,오만,남성,1010,32,26,34,30,47,95,174,183,142,97,70,39,24,8,2,3,4
아시아주,오만,여성,719,19,21,35,48,73,114,127,97,69,40,29,22,14,7,2,1,1
아시아주,키프로스,남성,576,3,4,16,20,23,57,97,75,61,54,43,40,46,26,8,1,2
아시아주,키프로스,여성,511,6,2,18,33,45,69,67,56,43,53,37,30,20,19,8,2,3
아시아주,투르크메니스탄,남성,593,9,22,23,24,40,73,122,95,86,50,23,10,8,5,1,2,0
아시아주,투르크메니스탄,여성,446,13,14,13,26,40,73,85,53,41,32,20,13,12,7,2,1,1
아시아주,예멘공화국,남성,795,11,13,9,10,23,100,199,179,158,42,16,12,7,12,4,0,0
아시아주,예멘공화국,여성,165,12,9,10,7,10,34,39,12,19,2,4,3,3,1,0,0,0
아시아주,바레인,남성,431,5,9,10,6,25,56,84,68,57,32,20,20,22,10,6,0,1
아시아주,바레인,여성,442,7,6,8,12,45,74,76,56,35,11,21,13,38,31,6,2,1
아시아주,레바논,남성,508,3,2,0,6,34,66,83,82,64,63,35,24,18,13,15,0,0
아시아주,레바논,여성,234,1,3,1,13,23,31,51,26,27,17,18,13,5,4,0,1,0
아시아주,부탄,남성,291,3,0,0,6,17,44,43,41,44,38,34,10,9,0,2,0,0
아시아주,부탄,여성,265,1,2,6,8,44,53,40,37,32,26,9,4,1,0,2,0,0
아시아주,아프가니스탄,남성,324,6,7,1,5,14,53,73,63,37,33,19,10,2,1,0,0,0
아시아주,아프가니스탄,여성,76,3,3,4,8,17,19,9,6,2,1,2,1,0,1,0,0,0
아시아주,몰디브,남성,136,4,1,10,3,7,11,19,26,18,16,10,6,4,1,0,0,0
아시아주,몰디브,여성,157,3,3,23,9,8,26,19,22,18,15,7,2,2,0,0,0,0
아시아주,팔레스타인,남성,199,4,2,2,0,12,33,48,27,36,14,8,6,1,4,2,0,0
아시아주,팔레스타인,여성,77,4,6,1,3,6,22,17,7,6,4,0,0,1,0,0,0,0
아시아주,홍콩거주난민,여성,5,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0
북아메리카주,미국,남성,676698,12166,17683,21842,27163,54065,63982,70821,65009,58247,51296,57637,52381,46011,34838,22071,13412,8074
북아메리카주,미국,여성,631481,12195,17356,22786,30122,54352,65898,62014,47187,44614,43525,52200,48192,45898,38863,24549,14025,7705
북아메리카주,미국,제3의성,196,0,0,8,37,50,29,41,13,5,2,1,5,1,2,1,1,0
북아메리카주,캐나다,남성,117950,2341,3283,3822,4295,6750,10839,14273,12449,10495,8786,9557,8654,8340,7012,3897,2114,1043
북아메리카주,캐나다,여성,124028,2193,3032,4146,5192,8548,13546,14166,9864,8469,8309,10451,10895,10846,7655,3970,1865,881
북아메리카주,캐나다,제3의성,8,0,0,0,2,4,1,0,0,0,0,1,0,0,0,0,0,0
남아메리카주,멕시코,남성,24311,239,345,474,619,1617,3157,4360,3531,2461,1774,1609,1279,1196,835,473,232,110
남아메리카주,멕시코,여성,28879,179,326,617,1355,2943,4884,4846,3131,2004,1591,1764,1610,1559,1082,612,281,95
남아메리카주,브라질,남성,14345,132,228,239,323,779,1616,2057,2289,2005,1443,958,681,586,480,309,140,80
남아메리카주,브라질,여성,15555,107,171,311,560,1400,2377,2408,1908,1465,1042,820,751,753,633,471,268,110
남아메리카주,콜롬비아,남성,4571,22,38,56,85,290,662,957,777,527,323,231,186,156,141,71,31,18
남아메리카주,콜롬비아,여성,5515,29,43,80,197,563,968,1141,754,420,333,208,205,222,172,107,54,19
남아메리카주,칠레,남성,3295,21,17,27,82,135,318,619,606,419,261,277,170,140,106,48,30,19
남아메리카주,칠레,여성,3548,23,14,66,154,268,666,876,463,247,149,169,132,130,90,58,30,13
남아메리카주,아르헨티나,남성,3031,26,27,26,84,142,291,489,444,345,274,262,182,140,110,107,59,23
