이름,세부카테고리,주소,위도,경도,전화번호,링크
금강산감자탕 방학점,한식>감자탕,서울특별시 도봉구 도봉로 669,37.6642040,127.0423650,,http://food.dobong.go.kr/product/view1.asp?m_seq=14&pg=1&m_code=&c_code1=&c_code2=&SearchText=
이빠이뼈다귀 쌍문본점,한식>감자탕,서울특별시 도봉구 노해로60길 95 1층,37.6472282,127.0329422,,
도마다리뼈다귀전문점,한식>감자탕,서울특별시 도봉구 해등로 161 대성빌딩 1층 도마다리뼈다귀전문점,37.6569336,127.0383912,,
서래왕차돌 창동점,"한식>육류,고기요리",서울특별시 도봉구 덕릉로60길 23 1층,37.6391834,127.0403370,,
신서방부대찌개 방학본점,"한식>찌개,전골",서울특별시 도봉구 방학로 174,37.6625844,127.0329314,,
원조의정부부대찌개,"한식>찌개,전골",서울특별시 도봉구 해등로 156 1층 의정부부대찌개,37.6570064,127.0391008,,http://food.dobong.go.kr/product/view1.asp?m_seq=71&pg=10&m_code=&c_code1=&c_code2=&SearchText=
신가네 왕코 등갈비,한식>돼지고기구이,서울특별시 동대문구 한천로 202,37.5788464,127.0686720,,
최원석의돼지한판&amp;서해쭈꾸미 시립대점,"한식>육류,고기요리",서울특별시 동대문구 전농로 222,37.5839665,127.0534583,,http://www.instagram.com/pig_k.o
서울뼈구이 본점,"한식>족발,보쌈",서울특별시 동대문구 왕산로 274-1,37.5850980,127.0513160,,
회기왕족발보쌈,"한식>족발,보쌈",서울특별시 동대문구 회기로 158,37.5908469,127.0535459,,https://www.instagram.com/hoegi_king_jokbal?igsh=MXdvNncyc2FvdThoNw==
박가족미나리족발,"한식>족발,보쌈",서울특별시 동대문구 장한로27가길 37 1단지 102동 상가동 103호104호,37.5752669,127.0708187,,
부마보쌈족발 장안점,"한식>족발,보쌈",서울특별시 동대문구 장한로 54 1층 부마족발보쌈,37.5657501,127.0677531,,
홍능족발,"한식>족발,보쌈",서울특별시 동대문구 홍릉로 20,37.5821493,127.0447606,,
금면옥 원기회복 칼국수 장한평본점,"한식>칼국수,만두",서울특별시 동대문구 장한로 37 1층 101호,37.5645673,127.0664371,,https://www.instagram.com/geummyeonok
만선애꿈 장안점,"한식>해물,생선요리",서울특별시 동대문구 한천로 42 1층 만선애꿈,37.5664945,127.0621461,,
은하곱창,"한식>곱창,막창,양",서울특별시 동대문구 전농로15길 22 은하곱창,37.5781838,127.0563627,,https://smartstore.naver.com/
순대실록 청량리점,"한식>순대,순댓국",서울특별시 동대문구 답십리로 27 롯데캐슬SKY-L65 상가동 107호 순대실록 청량리점,37.5792332,127.0453225,,https://www.instagram.com/sundaesilrok/
신설동 부산양곱창,"한식>곱창,막창,양",서울특별시 동대문구 보문로 12 1층,37.5765693,127.0234307,,https://www.instagram.com/ssd_gobchang_official/?hl=ko
정편백 청량리본점,"한식>육류,고기요리",서울특별시 동대문구 서울시립대로12길 3 1층,37.5788154,127.0502384,,https://blog.naver.com/honeytips1004
정대감감자탕 본점,한식>감자탕,서울특별시 동대문구 천호대로83길 46 평산빌딩 1층 101호,37.5641225,127.0656053,,https://smartstore.naver.com/jdgtang
여기가좋겠네,한식>닭요리,서울특별시 동대문구 회기로21길 25 1층,37.5926341,127.0530870,,https://youtu.be/1nFKr8h0sxs
갈비명가이상 답십리점,한식>소고기구이,서울특별시 동대문구 천호대로 327,37.5645078,127.0563991,,https://www.instagram.com/esang1982
흥부골숯불갈비 장안2호점,"한식>육류,고기요리",서울특별시 동대문구 장한로 149,37.5737002,127.0715615,,
다미옥,한식>냉면,서울특별시 동대문구 경동시장로12길 52-1 1층 다미옥,37.5821460,127.0436577,,
소문난의정부부대찌개 고대점,"한식>찌개,전골",서울특별시 동대문구 안암로22길 5 소문난의정부부대찌개 고대점,37.5883084,127.0351625,,https://smartstore.naver.com/kfbuzzi
육전제면소,"한식>육류,고기요리",서울특별시 동대문구 난계로30길 16,37.5743029,127.0243657,,https://instagram.com/yukjeon_sikdang.official?igshid=b99dsa36rdjv
재벌국수 신설동점,한식>국수,서울특별시 동대문구 하정로3길 7-3 1층,37.5754651,127.0262570,,
고향집,"한식>순대,순댓국",서울특별시 동대문구 왕산로37길 7,37.5803401,127.0439022,,
오소록 답십리점,한식>국수,서울특별시 동대문구 전농로3길 1-2 1층,37.5680107,127.0566514,,http://instagram.com/osorok_tiger
