이름,세부카테고리,주소,위도,경도,전화번호,링크
팔각도 신도림역점,"음식점>한식>육류,고기요리>닭갈비",서울특별시 구로구 경인로 643 신도림2차 동아아파트 205가동 상가 1층 116호,37.5084095,126.8868281,,http://www.8gakdo.co.kr
메이비카페,음식점>브런치,서울특별시 구로구 디지털로32나길 51 1층 메이비,37.4850394,126.9004372,,https://www.instagram.com/mayb_cafe
신림춘천집 구로디지털 직영점,음식점>한식,서울특별시 구로구 디지털로32나길 17-23 1층,37.4840596,126.8998615,,https://app.catchtable.co.kr/ct/shop/silimchuncheon_guro
최우영스시,"음식점>일식>초밥,롤",서울특별시 구로구 디지털로 288 지1층비118호,37.4837318,126.8953657,,https://www.instagram.com/cwyseafood
카나미스시 신도림본점,음식점>일식>일식당,서울특별시 구로구 공원로6나길 39-13 2층,37.5049026,126.8914163,,http://pf.kakao.com/_WHSjG
이자카야나무 구로디지털단지점,음식점>술집>이자카야,서울특별시 구로구 디지털로32나길 38 2층 이자카야나무,37.4846339,126.9012439,,https://app.catchtable.co.kr/ct/shop/Izakayanamuguro
싸다김밥 신도림역점,음식점>분식,서울특별시 구로구 경인로 661 1층 싸다김밥 신도림역점,37.5095327,126.8883235,,https://ssadagb.com
청담동마녀김밥 구로디지털점,음식점>분식,서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리 2차 125호,37.4843021,126.8989381,,https://www.instagram.com/witchgimbap_gudi
바르다김선생 신도림역점,음식점>분식,"서울특별시 구로구 경인로 661 신도림1차푸르지오 152,162호",37.5098587,126.8883751,,http://www.teacherkim.co.kr
더티프라이 신도림점,음식점>햄버거,서울특별시 구로구 새말로 97 테크노마트 지하1층 더티프라이 신도림점,37.5066361,126.8909520,,https://www.instagram.com/dirtyfry_official/
브런치빈 구로항동점,음식점>양식>브런치,"서울특별시 구로구 서해안로 2104 엠프라자 303호, 304호",37.4804308,126.8237370,,https://www.instagram.com/brunchbean_official
라마노피자,음식점>피자,서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지하1층 B119호,37.4841594,126.8994585,,https://app.catchtable.co.kr/ct/shop/lamanopizza
라크라센타,"음식점>카페,디저트",서울특별시 구로구 가마산로 242 1층 (희망재단),37.4944202,126.8876272,,https://www.instagram.com/lacrescenta_guro
인크커피 가산점,"음식점>카페,디저트",서울특별시 금천구 가산디지털2로 127-20,37.4793668,126.8780410,,https://smartstore.naver.com/inccoffee
은행골 가산점,"음식점>일식>초밥,롤",서울특별시 금천구 가산디지털1로 171 201호,37.4805619,126.8810152,,
은행골 금천구 시흥점,"음식점>일식>초밥,롤",서울특별시 금천구 시흥대로 198,37.4515672,126.9022117,,
고조 가산점,음식점>일식>일식당,서울특별시 금천구 가산디지털2로 101 B동 2층 202호,37.4769354,126.8795230,,https://app.catchtable.co.kr/ct/shop/gozo_?from=share&type=VISIT_RESERVATION
원조홍어회집,음식점>한식,서울특별시 금천구 시흥대로52길 8 1층,37.4518090,126.9027155,,
김밥천국 가산디지털단지역점,음식점>분식,서울특별시 금천구 가산디지털1로 145 에이스하이엔드타워3,37.4782937,126.8819534,,
고봉민김밥인 금천롯데캐슬점,음식점>분식,서울특별시 금천구 시흥대로 291,37.4601303,126.8963487,,https://blog.naver.com/kbm4u
싸다김밥 가산디지털점,음식점>분식,서울특별시 금천구 가산디지털2로 46,37.4726004,126.8828491,,https://ssadagb.com
프랑세즈과자점,"음식점>카페,디저트>베이커리",서울특별시 금천구 남부순환로 1392,37.4799230,126.9054173,,
무드무드,음식점>브런치,서울특별시 금천구 탑골로4길 58,37.4505624,126.9143032,,https://app.catchtable.co.kr/ct/moodmood
백소정 노원중앙점,음식점>일식>일식당,서울특별시 노원구 노해로83길 10-2 2층,37.6556397,127.0644506,,https://baeksojeong.com/
로니로티 노원점,음식점>이탈리아음식,서울특별시 노원구 상계로 63-7 2F,37.6565689,127.0618911,,
풍미연,음식점>한식,서울특별시 노원구 노해로85길 7 큰집돌솥설렁탕,37.6556299,127.0647991,,http://www.pungmiyeon.co.kr/
새벽스시,음식점>일식>일식당,서울특별시 노원구 상계로3길 28 4층 새벽스시,37.6574529,127.0626513,,
팔각도 상계역점,"음식점>한식>육류,고기요리>닭갈비",서울특별시 노원구 한글비석로20길 25 1층,37.6603856,127.0738714,,
오마카세 오사이초밥 노원점,"음식점>일식>초밥,롤",서울특별시 노원구 동일로218길 17 일신상가 2층 209호,37.6538828,127.0617916,,https://app.catchtable.co.kr/ct/shop/542sushi_nowon
으뜸스시 노원직영점,"음식점>일식>초밥,롤",서울특별시 노원구 동일로 1417 2층 204호,37.6551557,127.0601383,,https://www.으뜸스시.com
