이름,세부카테고리,주소,위도,경도,전화번호,링크
장독대,술집>요리주점,서울특별시 동작구 흑석로 112 중앙타워빌 3층 302호,37.5084254,126.9615608,,https://www.instagram.com/jangdokdae_1999/
7번방 홍대점,술집>요리주점,서울특별시 마포구 어울마당로 62,37.5506018,126.9214201,,http://www.instagram.com/global7room_hd
신호등포차 홍대점,술집>요리주점,서울특별시 마포구 잔다리로 3 2층,37.5505994,126.9226668,,https://www.instagram.com/pocha_shinholight
조선시대,술집>요리주점,서울특별시 마포구 홍익로3길 44 지하1층,37.5525892,126.9214312,,https://app.catchtable.co.kr/ct/shop/joseon2018
라라와케이 다이닝,술집>와인,서울특별시 마포구 어울마당로5길 50 1층 라라와케이 다이닝,37.5500313,126.9181070,,https://app.catchtable.co.kr/ct/shop/lala_kay
브릭스5221맥주 신촌점,"술집>맥주,호프",서울특별시 서대문구 연세로9길 10-3,37.5587526,126.9362769,,https://blog.naver.com/thebrix5221
신촌 현명포차,술집>요리주점,서울특별시 서대문구 명물길 32 준성빌딩 지하1층,37.5580757,126.9384406,,https://www.instagram.com/pocha_hm_
역전할머니맥주 서울신촌점,"술집>맥주,호프",서울특별시 서대문구 연세로7길 25 1층 역전할머니맥주 신촌점,37.5575860,126.9354154,,
금별맥주 신촌점,"술집>맥주,호프",서울특별시 서대문구 연세로11길 14 1층,37.5590264,126.9360514,,https://www.instagram.com/goldstarbeer__sinchon
7번방 강남점,술집>요리주점,서울특별시 서초구 서초대로77길 43 경원빌딩,37.5013938,127.0250851,,https://www.instagram.com/global7room
육회바른연어 교대점,술집>요리주점,서울특별시 서초구 서초중앙로22길 25 111호,37.4933645,127.0155056,,https://yby.co.kr
연탄요릿집 성수,술집>요리주점,서울특별시 성동구 성덕정17길 3 1층,37.5375577,127.0552460,,http://docs.google.com/forms/d/1P2Ha3m7JUDea0ivfA9A6onzfSnEX2b_S7rIE5xr6-TY/edit
레인보우포차,술집>요리주점,서울특별시 성동구 행당로17길 26 2층,37.5606650,127.0330143,,https://www.instagram.com/rainbowpocha__/
당나발포차 성신여대점,술집>요리주점,서울특별시 성북구 동소문로20길 37-13 1층,37.5911243,127.0175655,,https://dangnabal.com/
주류충전소,술집>요리주점,서울특별시 성북구 동소문로20다길 16 1층,37.5917753,127.0176346,,http://alcoholst.kr
79대포 방이점,술집>포장마차,서울특별시 송파구 올림픽로32길 36 지상1층(방이동),37.5130846,127.1101058,,https://www.instagram.com/79daepo_official/
비닐하우스,술집>요리주점,서울특별시 영등포구 도림로128가길 13-8 1층,37.5142300,126.8976875,,https://catchtable.co.kr/vinylhouse
더기와 용산점,술집>요리주점,"서울특별시 용산구 한강대로38가길 23 1층, 2층",37.5299085,126.9707331,,https://app.catchtable.co.kr/ct/shop/thegiwa_ys
동백가옥 용산본점,술집>요리주점,서울특별시 용산구 한강대로54길 20-1 동백가옥 용산본점,37.5324991,126.9727947,,https://www.instagram.com/dongbaekgaok
요이땅 남영,술집>이자카야,서울특별시 용산구 한강대로80길 21-3 1층 요이땅 남영,37.5428681,126.9739455,,https://www.instagram.com/yoi___ddang/
엉클조 소시지 삼각지점,"술집>맥주,호프",서울특별시 용산구 한강대로62다길 1 1층,37.5336139,126.9738346,,
송루 신용산 본점,술집>요리주점,서울특별시 용산구 한강대로42길 12 지하1층,37.5305661,126.9702883,,https://www.instagram.com/three_idiots_try/
만선호프 노가리체인본점,"술집>맥주,호프",서울특별시 중구 을지로13길 19,37.5672841,126.9918001,,
아재카세 충무로점,술집>요리주점,서울특별시 중구 충무로2길 33-2 1층 아재카세,37.5624171,126.9950833,,https://app.catchtable.co.kr/ct/shop/azekase?from=share&type=DINING
까무리 상봉역본점,술집>요리주점,서울특별시 중랑구 망우로48길 38 상봉 어반하임 1동 1층 101호,37.5953329,127.0887254,,http://kkamuri.jalib.site/
장수만세 면목본점,술집>요리주점,서울특별시 중랑구 봉우재로 120 1층,37.5924709,127.0863637,,https://catchtable.co.kr/jangsumanse
