이름,세부카테고리,주소,위도,경도,전화번호,링크
포비 강남점,"카페,디저트>베이커리",서울특별시 서초구 사평대로 205 센트럴시티 파미에스테이션 1층 106호,37.5030165,127.0044176,,http://fourb.co.kr
파리크라상 예술의전당점,"카페,디저트>베이커리",서울특별시 서초구 남부순환로 2406 예술의 전당,37.4798178,127.0127646,,https://pariscroissantorder.com
파리크라상 교대역점,"카페,디저트>베이커리",서울특별시 서초구 서초중앙로24길 27 G-five 플라자 1층,37.4954178,127.0164171,,https://pariscroissantorder.com
코끼리베이글 성수,"카페,디저트>베이커리",서울특별시 성동구 성수이로26길 17 1층,37.5460779,127.0595824,,
나폴레옹과자점 본점,"카페,디저트>베이커리",서울특별시 성북구 성북로 7 나폴레옹과자점,37.5888994,127.0051951,,https://napoleonbakery.co.kr
성북동 빵공장,"카페,디저트>베이커리",서울특별시 성북구 대사관로 40 B동,37.5958724,126.9884192,,https://www.instagram.com/sb_bread_factory
스타벅스 성신여대정문점,"카페,디저트>카페",서울특별시 성북구 보문로34길 62 (동선동2가),37.5909100,127.0188000,,http://www.starbucks.co.kr/
스타벅스 성신여대점,"카페,디저트>카페",서울특별시 성북구 동소문로24길 12 (동선동1가),37.5931349,127.0183790,,http://www.starbucks.co.kr/
스타벅스 한성대입구역점,"카페,디저트>카페",서울특별시 성북구 성북로 11 (성북동1가),37.5891161,127.0049472,,http://www.starbucks.co.kr/
그레도제빵사,"카페,디저트>베이커리",서울특별시 성북구 화랑로 304 1층 카페 그레도제빵사,37.6134032,127.0621791,,http://www.instagram.com/cafe.gredo
롤링핀 1976길음점,"카페,디저트>베이커리",서울특별시 성북구 도봉로 1 베누스타빌딩 1층 롤링핀 1976 길음점,37.6092206,127.0294137,,https://www.instagram.com/bakery.cafe_rollingpin/
파리바게뜨 한성대역점,"카페,디저트>베이커리",서울특별시 성북구 동소문로 11,37.5892466,127.0074212,,https://www.paris.co.kr/
스타벅스 안암역점,"카페,디저트>카페",서울특별시 성북구 고려대로 102-2 (안암동5가),37.5862203,127.0307239,,http://www.starbucks.co.kr/
이성당 롯데백화점잠실점,"카페,디저트>베이커리",서울특별시 송파구 올림픽로 240 지하 1층,37.5125146,127.0991913,,
런던베이글뮤지엄 잠실,"카페,디저트>베이커리",서울특별시 송파구 올림픽로 300 롯데월드몰 1층,37.5133398,127.1035500,,https://app.catchtable.co.kr/ct/shop/london_bagel_museum_jamsil
베즐리베이커리,"카페,디저트>베이커리",서울특별시 송파구 올림픽로43길 88 동관지하1층,37.5265762,127.1079350,,
밀파니,"카페,디저트>베이커리","서울특별시 송파구 위례서로 273 밀파니 타워 1층, 2층",37.4891370,127.1424950,,https://www.instagram.com/millpany
파리크라상 올림픽공원점,"카페,디저트>베이커리",서울특별시 송파구 올림픽로 424 올림픽공원 만남의 광장 편익C동 1층,37.5163835,127.1299850,,https://pariscroissantorder.com
스타벅스 신정DT점,"카페,디저트>카페",서울특별시 양천구 신월로 341 (신정동),37.5219930,126.8588650,,http://www.starbucks.co.kr/
스타벅스 신월IC DT점,"카페,디저트>카페",서울특별시 양천구 남부순환로 430 (신월동),37.5295024,126.8322023,,http://www.starbucks.co.kr/
스타벅스 목동역점,"카페,디저트>카페",서울특별시 양천구 목동로 203 (신정동) 1층일부,37.5266840,126.8639860,,http://www.starbucks.co.kr/
스타벅스 현대목동점,"카페,디저트>카페","서울특별시 양천구 목동동로 257 (목동, 현대하이페리온) 지하2층",37.5267831,126.8747846,,http://www.starbucks.co.kr/
스타벅스 오목교역점,"카페,디저트>카페",서울특별시 양천구 오목로 354 (목동),37.5238559,126.8764498,,http://www.starbucks.co.kr/
파리바게뜨 양천구청점,"카페,디저트>베이커리",서울특별시 양천구 목동동로 73 1층,37.5158789,126.8628317,,https://www.paris.co.kr/
빵의시간 목동본점,"카페,디저트>베이커리",서울특별시 양천구 목동중앙본로 99 1층 빵의시간,37.5445061,126.8705920,,https://www.instagram.com/bbangsi_time
파리바게뜨 신곡시장점,"카페,디저트>베이커리",서울특별시 양천구 신월로 165,37.5183092,126.8418650,,https://www.paris.co.kr/
파리바게뜨 신정네거리역점,"카페,디저트>베이커리",서울특별시 양천구 중앙로 251,37.5188294,126.8532436,,https://www.paris.co.kr/
뚜레쥬르 염창역점,"카페,디저트>베이커리",서울특별시 양천구 공항대로 630 어바니엘 1층,37.5466598,126.8748974,,
유어스베이크샵 목동본점,"카페,디저트>베이커리",서울특별시 양천구 목동서로 37 하이베라스112호 유어스베이크샵 목동본점,37.5374770,126.8818607,,https://smartstore.naver.com/yoursbakeshop
코끼리베이글 영등포,"카페,디저트>베이글",서울특별시 영등포구 선유로 176 코끼리베이글,37.5292732,126.8935041,,
러스트 베이커리,"카페,디저트>베이커리",서울특별시 영등포구 경인로79길 15 러스트베이커리,37.5131931,126.8937186,,
안스베이커리 롯데백화점 영등포점,"카페,디저트>베이커리",서울특별시 영등포구 경인로 846 지하 1층,37.5161435,126.9071345,,https://www.instagram.com/ansbakery_/
셰프의 아이들,"카페,디저트>베이커리","서울특별시 영등포구 당산로 102 1층, 2층",37.5236937,126.8964461,,https://www.instagram.com/chefs_aidul
패션5,"카페,디저트>베이커리",서울특별시 용산구 이태원로 272 패션5 1층,37.5386535,127.0019380,,https://패션5.com/
파리크라상 서울역점,"카페,디저트>베이커리",서울특별시 용산구 청파로 378 2층 108호,37.5527150,126.9694580,,https://pariscroissantorder.com
스타벅스 용산아이파크몰6F점,"카페,디저트>카페",서울특별시 용산구 한강대로23길 55,37.5289068,126.9646345,,http://www.starbucks.co.kr/
아우어베이커리 용산아이파크몰점,"카페,디저트>베이커리",서울특별시 용산구 한강대로23길 55 4층 17-2호,37.5297717,126.9647415,,https://www.instagram.com/ourbakerycafe/
스타벅스 연신내역사거리점,"카페,디저트>카페",서울특별시 은평구 통일로 842 (불광동),37.6187739,126.9217988,,http://www.starbucks.co.kr/
스타벅스 더북한산점,"카페,디저트>카페",서울특별시 은평구 대서문길 24-11 (진관동),37.6554576,126.9475563,,http://www.starbucks.co.kr/
스타벅스 은평구청입구점,"카페,디저트>카페",서울특별시 은평구 은평로 170 (응암동),37.6012356,126.9268136,,http://www.starbucks.co.kr/
스타벅스 구산역점,"카페,디저트>카페",서울특별시 은평구 연서로 146 (대조동),37.6117450,126.9176780,,http://www.starbucks.co.kr/
