가맹점명,사용가능 지역화폐,시도명,시군구명,소재지도로명주소,데이터기준일자
(주)바질레이 목동직영점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 오목로 279, 507호 (목동, 현대프라자)",2024-08-20
(주)바질레이 목동직영점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동동로 385 405, 406호 현대프라자 5층 507호",2024-08-20
(주)배드민턴마켓,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 등촌로 192 (목동) 1층,2024-08-20
(주)본비반트,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동서로 400 (신정동, 목동신시가지아파트10단지) 117, 118호",2024-08-20
(주)블랙경옥,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 신월로 341 (신정동) 4층 (스타벅스건물),2024-08-20
(주)비엠에프에이스침대,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 공항대로 540(목동) 이레빌딩 1층,2024-08-20
(주)비엠필라테스앤피티(BM PILATES&PT) 등촌역점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 공항대로 540(목동) 3층,2024-08-20
(주)비엠필라테스앤피티(BM PILATES&PT) 목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동로 171 (신정동) 2층,2024-08-20
(주)상승정보통신,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 오목로 318, 201호 (목동, 세화빌딩) 리버타워 518호",2024-08-20
(주)소샘,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 오목로 345 (목동) 제지하1층 제비110호(목동, 목동 슬로우스퀘어)",2024-08-20
(주)스토리에듀,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 349 (신정동) 센트럴프라자빌딩 1016호 M스토리수학학원,2024-08-20
(주)스튜디오스프링(Studio spring Co.Ltd.),서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로14길 3 (목동) 2층,2024-08-20
(주)스포짐네트웍스,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 오목로 299 (목동) 지하 102호, 지하 201호(트라팰리스 이스턴애비뉴)",2024-08-20
(주)쌍방울  목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 오목로 232 (신정동, 보성팰리스) 1층",2024-08-20
(주)쌍방울목동상설점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 신목로 81 (신정동) 1층,2024-08-20
(주)아이티씨하이,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로 377 (목동) 유니아나빌딩 5층 아이티씨고등전문어학원,2024-08-20
(주)아침전산,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로 293 (목동) 718호,2024-08-20
(주)양천뼈다귀,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울시 양천구 목동동로 258(목동, 목동금호1차아파트) 금호아파트 근린생활시설 101~104호 양천뼈다귀",2024-08-20
(주)억조상회,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로10길 24 (신정동) 1층,2024-08-20
(주)에스알아이양평신내해장국,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 공항대로 646 (목동) 1층,2024-08-20
(주)에스앤씨푸드,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울시 양천구 국회대로 289 1층(목동),2024-08-20
(주)에스포텍(목동지점),서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 등촌로 100, 4층",2024-08-20
(주)에이치에스리테일 목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동중앙북로 7 상가동 101호,2024-08-20
(주)엔에이치에스에듀케이션,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 77 (목동) 203호,2024-08-20
(주)예현,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 오목로 312 지하1층(목동, 제일빌딩)",2024-08-20
(주)오름,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 목동로23길 24, 지하1층 1층 3층 4층5층 (신정동, 오름빌딩) 1층",2024-08-20
(주)오름,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동로23길 4 (신정동) 1층,2024-08-20
(주)오목교보드람치킨,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울 양천구 오목로 337-15 1층(목동),2024-08-20
(주)와이앤에스잉글리쉬 YNS,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 349 (신정동) 8층 열정과신념,2024-08-20
(주)와이앤에스잉글리쉬(센터관),서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 오목로 279 (목동) 5층 505호(목동,현대프라자)",2024-08-20
(주)용형호제 락희안 목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 오목로 330 (목동) 오목로330 2층 (진광빌딩),2024-08-20
(주)우리모두행복한세상,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울시 양천구 중앙로36길 46 1층(신정동),2024-08-20
(주)이데아교육,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울시 양천구 오목로56길14 3층(목동,정방빌딩)",2024-08-20
(주)이정진영어학원,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 67 (목동) 1103호,2024-08-20
(주)제주해장국맛집,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 오목로 321-1 (목동) 1층, 제주은희네해장국",2024-08-20
(주)조이앤에듀,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 중앙로32길 61 4층 403호,2024-08-20
(주)종로아카데미,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울 양천구 오목로 282, 2층 (목동, 서원빌딩) (주)하늘교육",2024-08-20
(주)좋은사람들 아울렛 등촌점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동중앙북로 19-1 (주)좋은사람들 아울렛 등촌점,2024-08-20
(주)좋은사람들 아울렛 목동점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동서로 63 (주)좋은사람들 아울렛 목동점,2024-08-20
(주)진우에너지 신월점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 신월로 193 (신월동) 1층,2024-08-20
(주)청구유통,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울시 양천구 남부순환로 560 1층,2024-08-20
(주)초원렌트카,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 중앙로 293 (신월동) 3층,2024-08-20
(주)컴투프리테크 목동지점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울시 양천구 목동서로 161 SBS방송국 BI 기프트샵 컴투프리테크 목동점,2024-08-20
(주)코딩플러스,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동동로 339 (목동, 목동트윈빌) 207,208호",2024-08-20
(주)코리아렌터카,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울시 양천구 국회대로 92 202(신월동,연안빌딩)",2024-08-20
(주)코리아세븐  목동8단지점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동서로 295 (신정동, 우림필유) (롯데택배) 세븐일레븐 목동8단지점",2024-08-20
(주)코리아세븐  목동8단지점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동서로295(신정동,우림필유) (주)코리아세븐목동8단지점",2024-08-20
(주)코리아세븐  목동리더스점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 신목로50  (신정동) (주)코리아세븐 목동리더스점,2024-08-20
(주)코리아세븐  목동리더스점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 신목로 50 (신정동) (롯데택배) 세븐일레븐 목동리더스점,2024-08-20
(주)코리아세븐  신월동방점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 신월로224 (주)코리아세븐 신월동방점,2024-08-20
(주)코리아세븐  신월동방점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 신월로 224 (신월동) (롯데택배) 세븐일레븐 신월동방점,2024-08-20
